player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Alex Murphy,Newcastle United,D,0,0.0,0,0,0.0,0,1,1,100.0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.39e-05,,0,0,0.0,0,0,1,1,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,0,0,2,0,0
Marcos Senesi,Bournemouth,D,7,30.43478261,264,153,39.13043478,607,829,1436,77.49595251,74,48.68421053,78,30,4,123,6,2,4,8,220,12,22,139,0,2,4.11136939,1.3903,27,0,0.0,0,4,47,41,6,0,0,,80,56.73758865,0,0,0,417,47,21,0,30,2660,1,0,0,0,0,0.0,0,0,0,0,487,2,0,7.186666667,0,0,0,0,0,0,0,0.0,0.0,0,9,7,7,5,3,60.0,50,30,60.0,21,5,23,154,52.55972696,391,925,928,1853,16,3,2418,28,8
James Hill,Bournemouth,D,2,22.22222222,61,39,33.91304348,179,360,539,77.77777778,78,64.46280992,43,22,3,52,2,1,1,4,117,4,10,67,0,1,1.05393345,0.6713,11,0,0.0,0,3,18,16,2,0,0,,37,60.6557377,0,0,1,154,31,8,0,15,1490,1,1,0,0,0,0.0,0,0,0,0,217,1,0,6.971428571,0,0,0,0,0,0,0,0.0,0.0,0,6,2,6,1,1,100.0,27,12,44.44444444,8,1,9,115,63.18681319,115,300,393,693,8,2,1023,11,2
Veljko Milosavljevi?,Bournemouth,D,0,0.0,19,8,30.76923077,47,113,160,84.21052632,11,40.74074074,16,7,0,13,0,1,0,1,25,1,2,19,0,0,0.19614632,0.1513,0,0,0.0,0,0,6,3,3,0,0,,6,66.66666667,0,0,0,30,4,1,0,4,375,0,0,0,0,0,0.0,0,0,0,0,34,0,0,6.8,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,1,100.0,5,4,80.0,1,1,0,17,47.22222222,26,70,120,190,1,0,248,0,0
Álex Jiménez,Bournemouth,D,8,19.51219512,182,32,46.37681159,322,247,569,80.36723164,12,37.5,20,27,0,108,2,0,8,2,35,17,20,112,0,0,1.40808469,1.1061,26,0,5.0,1,1,35,29,6,1,0,,103,52.82051282,0,0,0,139,24,12,0,22,1971,0,0,0,0,1,0.0,0,0,0,0,276,9,0,6.796296296,0,1,0,0,0,0,0,1971.0,0.0,0,9,11,8,4,32,52.45901639,55,41,74.54545455,12,61,41,115,50.66079295,69,418,290,708,20,0,1215,16,9
Adrien Truffert,Bournemouth,D,26,21.13821138,292,32,31.68316832,561,492,1053,82.84815106,39,44.82758621,48,31,3,159,4,0,5,9,123,22,25,160,1,1,2.43426082,0.4428,32,0,0.0,0,3,45,38,7,0,0,,132,54.09836066,0,0,0,218,40,24,0,31,2750,0,0,0,0,0,0.0,0,0,0,0,426,5,0,6.696774194,0,0,0,0,0,0,0,0.0,0.0,0,5,7,5,2,26,44.06779661,83,44,53.01204819,24,59,123,171,51.66163142,101,703,568,1271,12,1,2130,23,3
Bafodé Diakité,Bournemouth,D,0,0.0,85,34,47.22222222,244,415,659,87.98397864,35,49.29577465,36,18,0,48,0,0,0,4,83,1,3,51,0,1,0.18310612,0.0185,8,0,0.0,0,0,27,24,3,0,0,,25,62.5,0,0,0,90,12,3,0,15,1286,2,0,0,0,1,0.0,0,0,0,0,100,2,0,6.629411765,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0.0,20,15,75.0,3,3,1,60,54.05405405,72,308,441,749,1,0,922,5,1
Adam Smith,Bournemouth,D,1,10.0,54,9,20.0,106,95,201,75.8490566,12,50.0,12,18,1,22,1,0,0,3,29,1,8,33,0,0,0.22420607,,14,0,0.0,0,1,15,13,2,0,0,,19,47.5,0,0,0,64,6,4,0,11,826,0,0,0,0,0,0.0,0,0,0,0,91,0,0,6.44375,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,12,10,83.33333333,4,1,10,31,48.4375,45,158,107,265,0,0,411,7,3
Julio Soler,Bournemouth,D,0,0.0,4,0,0.0,15,5,20,86.95652174,0,0.0,0,3,0,4,0,0,0,0,0,0,1,3,0,0,0.00502714,,2,0,0.0,0,0,2,1,1,0,0,,3,50.0,0,0,0,3,0,0,0,0,34,0,0,0,0,0,0.0,0,0,0,0,6,0,0,6.3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,2,3,50.0,2,16,7,23,0,0,31,2,0
Chris Richards,Crystal Palace,D,4,36.36363636,109,53,40.45801527,345,687,1032,84.45171849,88,57.51633987,65,26,0,52,1,0,6,9,159,9,15,105,2,1,1.24970626,1.13,14,0,10.0,1,1,31,28,3,1,0,,57,58.7628866,1,0,0,190,40,9,0,26,2333,0,0,0,0,0,0.0,0,0,0,0,290,0,0,7.003846154,0,0,0,0,0,0,0,2333.0,0.0,0,10,0,3,1,4,66.66666667,50,31,62.0,9,6,11,145,58.0,131,468,754,1222,10,0,1717,3,3
Jaydee Canvot,Crystal Palace,D,0,0.0,72,21,53.84615385,158,205,363,87.46987952,21,63.63636364,12,13,0,28,0,1,0,3,56,2,10,33,1,1,0.22431768,0.7864,9,0,0.0,0,0,9,8,1,0,0,,27,56.25,0,0,0,52,6,2,0,7,717,0,0,0,0,1,0.0,0,0,0,0,67,3,0,6.9,0,0,0,0,0,0,0,0.0,0.0,0,3,0,3,0,1,50.0,23,15,65.2173913,2,2,3,48,59.25925926,39,190,225,415,3,2,559,3,2
Maxence Lacroix,Crystal Palace,D,2,40.0,78,69,48.5915493,338,816,1154,87.89032749,93,59.61538462,63,28,2,76,3,2,6,10,203,6,7,105,0,2,0.8083556,2.0649,26,0,5.0,1,3,32,28,4,1,0,,70,62.5,1,0,1,159,35,5,0,28,2486,0,0,0,0,2,0.0,0,0,0,0,192,1,0,6.892857143,1,0,0,0,0,0,0,2486.0,0.0,0,18,2,10,4,5,55.55555556,50,31,62.0,5,9,5,163,60.82089552,142,447,866,1313,20,2,1774,16,3
Chadi Riad,Crystal Palace,D,0,0.0,24,11,47.82608696,89,143,232,87.87878788,11,52.38095238,10,6,1,12,1,1,0,0,12,2,4,20,0,1,0.05554364,0.1062,4,0,0.0,0,1,3,3,0,0,0,,7,41.17647059,0,0,0,32,1,1,0,3,314,0,0,0,0,0,0.0,0,0,0,0,42,0,0,6.65,0,0,0,0,0,0,0,0.0,0.0,0,2,0,1,1,1,100.0,4,2,50.0,1,1,6,18,47.36842105,23,109,155,264,2,0,311,2,2
Nathaniel Clyne,Crystal Palace,D,2,13.33333333,35,3,27.27272727,71,49,120,77.41935484,2,25.0,6,8,1,16,2,0,1,0,19,1,3,17,0,0,0.67362709,0.4306,4,0,0.0,0,1,9,7,2,0,0,,19,63.33333333,0,0,0,35,5,3,0,6,506,0,0,0,0,0,0.0,0,0,0,0,62,3,0,6.6125,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,0,4,57.14285714,14,9,64.28571429,3,7,15,21,55.26315789,11,94,61,155,3,0,260,1,1
James Justin,Leeds United,D,5,18.51851852,67,22,39.28571429,146,213,359,76.05932203,28,50.90909091,27,22,1,50,4,1,5,4,59,7,9,62,0,1,0.97085529,0.8665,9,0,5.882352941,1,2,18,17,1,1,0,,53,60.22727273,0,0,1,113,20,10,1,14,1286,2,0,0,0,0,0.0,0,0,0,0,191,0,0,6.842857143,0,0,0,0,0,0,0,1286.0,0.0,0,12,5,8,4,2,16.66666667,31,22,70.96774194,10,12,27,81,56.64335664,56,230,242,472,17,1,818,21,2
Jaka Bijol,Leeds United,D,0,0.0,56,38,45.23809524,164,460,624,85.3625171,50,54.34782609,42,18,1,49,1,1,3,3,101,0,3,59,0,1,0.65472826,0.7858,15,0,8.333333333,1,2,21,21,0,1,0,,32,65.30612245,1,0,1,107,22,4,0,14,1329,0,0,0,0,1,0.0,0,0,0,0,117,1,0,6.833333333,0,0,0,0,0,0,0,1329.0,0.0,0,12,0,3,6,2,100.0,21,12,57.14285714,4,2,1,82,58.15602837,84,244,487,731,12,0,943,9,3
Pascal Struijk,Leeds United,D,0,0.0,151,59,45.03816794,443,926,1369,87.98200514,94,55.62130178,75,28,1,101,1,4,7,5,178,6,13,115,0,0,0.74187592,2.5399,21,0,0.0,0,1,40,35,5,0,0,,50,55.55555556,0,0,0,187,27,11,0,27,2431,5,0,0,0,0,0.0,0,0,0,0,220,1,0,6.8,0,0,0,0,0,0,0,0.0,0.0,0,24,1,14,4,2,50.0,30,19,63.33333333,11,4,2,144,55.5984556,131,564,992,1556,25,0,1936,19,4
Joe Rodon,Leeds United,D,2,40.0,113,36,43.90243902,369,793,1162,88.43226788,78,53.42465753,68,29,0,73,1,1,4,5,165,4,8,90,1,2,0.40903327,1.2123,12,0,13.33333333,2,2,46,41,5,2,0,,48,68.57142857,2,0,1,152,27,5,0,29,2547,1,0,0,0,0,0.0,0,0,0,0,193,1,0,6.731034483,0,0,0,0,0,0,0,1273.5,0.0,0,15,0,7,4,1,100.0,32,17,53.125,5,1,5,126,58.33333333,82,470,844,1314,15,0,1705,17,1
Sebastiaan Bornauw,Leeds United,D,1,100.0,6,6,40.0,24,64,88,81.48148148,9,47.36842105,10,9,0,7,0,0,0,0,23,1,2,18,0,0,0.0128804,,5,0,0.0,0,0,4,4,0,0,0,,7,46.66666667,0,0,0,20,4,0,0,4,315,0,0,0,0,0,0.0,0,0,0,0,26,0,0,6.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,6,2,33.33333333,0,1,1,16,47.05882353,15,36,72,108,0,0,170,0,1
Gabriel Gudmundsson,Leeds United,D,21,26.92307692,149,25,26.04166667,302,349,651,76.2295082,15,35.71428571,27,29,0,102,3,0,5,3,74,24,25,140,1,0,2.01857014,1.1039,30,0,0.0,0,0,42,37,5,0,0,,147,56.53846154,0,0,0,203,21,19,0,28,2373,3,1,0,0,0,0.0,0,0,0,0,416,8,0,6.565517241,1,0,0,0,0,0,0,0.0,0.0,0,11,7,10,3,35,50.72463768,61,41,67.21311475,19,69,78,162,53.64238411,96,438,416,854,18,0,1540,51,4
Jayden Bogle,Leeds United,D,13,23.63636364,139,26,34.21052632,288,294,582,76.57894737,22,46.80851064,25,29,1,119,4,3,7,3,64,28,21,138,1,1,1.68874944,2.0788,32,0,5.882352941,1,2,41,36,5,1,0,,93,45.14563107,0,0,0,178,29,14,1,27,2417,9,0,0,0,0,0.0,0,0,0,1,350,14,0,6.544827586,0,0,0,0,0,0,0,2417.0,0.0,0,10,7,6,4,16,32.65306122,54,34,62.96296296,14,49,55,115,45.45454545,76,421,339,760,17,0,1335,23,6
Sam Byram,Leeds United,D,0,0.0,0,0,0.0,0,1,1,100.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.15e-06,,1,0,0.0,0,0,1,1,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,1,1,0,0,1,0,0
Murillo,Nottingham Forest,D,0,0.0,124,80,50.31446541,310,568,878,83.5394862,22,51.1627907,21,23,0,98,1,0,5,6,122,8,4,57,0,2,0.47235085,0.6098,19,0,10.0,1,1,28,20,8,1,0,,47,56.62650602,0,0,0,173,31,8,1,23,2001,0,1,0,0,0,0.0,0,0,0,0,206,3,0,7.004347826,0,0,0,0,0,0,0,2001.0,0.0,2,4,6,1,4,9,64.28571429,32,22,68.75,8,14,3,69,54.76190476,159,433,618,1051,10,1,1377,7,4
Morato,Nottingham Forest,D,0,0.0,45,32,47.76119403,167,329,496,86.56195462,16,59.25925926,11,15,0,47,0,2,0,2,61,0,4,26,1,2,0.08536253,0.8298,11,0,0.0,0,0,17,14,3,0,0,,35,70.0,0,0,0,77,8,1,0,10,955,1,0,0,0,0,0.0,0,0,0,0,89,0,0,6.946153846,0,0,0,0,0,0,0,0.0,0.0,0,3,1,3,1,4,100.0,24,15,62.5,1,4,1,51,66.23376623,67,212,361,573,4,0,739,7,4
Neco Williams,Nottingham Forest,D,21,20.0,269,36,32.14285714,460,448,908,82.99817185,35,53.03030303,31,30,3,136,5,2,14,8,72,26,31,138,1,2,3.30714703,1.6525,25,0,2.857142857,1,4,39,30,9,1,0,,149,58.203125,0,0,0,186,36,30,0,30,2620,3,0,0,0,1,0.0,0,0,0,0,429,10,0,6.89,1,1,0,0,0,0,0,2620.0,0.0,1,12,23,6,15,26,47.27272727,78,51,65.38461538,30,55,105,184,57.14285714,112,587,507,1094,35,2,1951,47,5
Ola Aina,Nottingham Forest,D,6,18.75,112,30,57.69230769,230,207,437,86.36363636,20,62.5,12,15,0,68,0,0,3,5,61,13,10,65,0,2,0.68624597,0.3559,13,0,0.0,0,0,17,15,2,0,0,,45,45.91836735,0,0,1,69,23,8,0,15,1321,0,0,1,0,0,0.0,0,0,0,0,184,2,0,6.82,0,0,0,0,0,0,0,0.0,0.0,0,4,7,7,1,13,41.93548387,23,17,73.91304348,7,31,32,65,50.0,52,277,229,506,11,0,902,10,3
